activation,batch_size,best_checkpoint_dir,best_epoch,best_val_accuracy,dropout,early_stopping_min_delta,early_stopping_patience,epochs,hidden_dims,learning_rate,lr_decay,max_grad_norm,momentum,train_hflip_prob,train_rotate_prob,train_vflip_prob,trial_index,trial_name,use_train_augmentation,weight_decay
relu,128,/home/zhangzhiwei/deeplearning/homework1/eurosat_mlp_hw/output/search_grid_final/trial_021__learning_rate-0.01__hidden_dims-512__activation-relu__weight_decay-0/best,19,0.654320987654321,0.2,0.0001,6,20,[512],0.01,0.98,5.0,0.9,0.5,0.5,0.5,21,trial_021__learning_rate-0.01__hidden_dims-512__activation-relu__weight_decay-0,True,0.0
relu,128,/home/zhangzhiwei/deeplearning/homework1/eurosat_mlp_hw/output/search_grid_final/trial_018__learning_rate-0.01__hidden_dims-256__activation-relu__weight_decay-0.0005/best,19,0.6461728395061729,0.2,0.0001,6,20,[256],0.01,0.98,5.0,0.9,0.5,0.5,0.5,18,trial_018__learning_rate-0.01__hidden_dims-256__activation-relu__weight_decay-0.0005,True,0.0005
relu,128,/home/zhangzhiwei/deeplearning/homework1/eurosat_mlp_hw/output/search_grid_final/trial_017__learning_rate-0.01__hidden_dims-256__activation-relu__weight_decay-0/best,15,0.645679012345679,0.2,0.0001,6,20,[256],0.01,0.98,5.0,0.9,0.5,0.5,0.5,17,trial_017__learning_rate-0.01__hidden_dims-256__activation-relu__weight_decay-0,True,0.0
relu,128,/home/zhangzhiwei/deeplearning/homework1/eurosat_mlp_hw/output/search_grid_final/trial_022__learning_rate-0.01__hidden_dims-512__activation-relu__weight_decay-0.0005/best,13,0.639753086419753,0.2,0.0001,6,20,[512],0.01,0.98,5.0,0.9,0.5,0.5,0.5,22,trial_022__learning_rate-0.01__hidden_dims-512__activation-relu__weight_decay-0.0005,True,0.0005
tanh,128,/home/zhangzhiwei/deeplearning/homework1/eurosat_mlp_hw/output/search_grid_final/trial_024__learning_rate-0.01__hidden_dims-512__activation-tanh__weight_decay-0.0005/best,20,0.6017283950617284,0.2,0.0001,6,20,[512],0.01,0.98,5.0,0.9,0.5,0.5,0.5,24,trial_024__learning_rate-0.01__hidden_dims-512__activation-tanh__weight_decay-0.0005,True,0.0005
tanh,128,/home/zhangzhiwei/deeplearning/homework1/eurosat_mlp_hw/output/search_grid_final/trial_019__learning_rate-0.01__hidden_dims-256__activation-tanh__weight_decay-0/best,16,0.5893827160493827,0.2,0.0001,6,20,[256],0.01,0.98,5.0,0.9,0.5,0.5,0.5,19,trial_019__learning_rate-0.01__hidden_dims-256__activation-tanh__weight_decay-0,True,0.0
tanh,128,/home/zhangzhiwei/deeplearning/homework1/eurosat_mlp_hw/output/search_grid_final/trial_020__learning_rate-0.01__hidden_dims-256__activation-tanh__weight_decay-0.0005/best,20,0.5787654320987654,0.2,0.0001,6,20,[256],0.01,0.98,5.0,0.9,0.5,0.5,0.5,20,trial_020__learning_rate-0.01__hidden_dims-256__activation-tanh__weight_decay-0.0005,True,0.0005
tanh,128,/home/zhangzhiwei/deeplearning/homework1/eurosat_mlp_hw/output/search_grid_final/trial_023__learning_rate-0.01__hidden_dims-512__activation-tanh__weight_decay-0/best,7,0.5762962962962963,0.2,0.0001,6,20,[512],0.01,0.98,5.0,0.9,0.5,0.5,0.5,23,trial_023__learning_rate-0.01__hidden_dims-512__activation-tanh__weight_decay-0,True,0.0
relu,128,/home/zhangzhiwei/deeplearning/homework1/eurosat_mlp_hw/output/search_grid_final/trial_013__learning_rate-0.05__hidden_dims-512__activation-relu__weight_decay-0/best,20,0.5511111111111111,0.2,0.0001,6,20,[512],0.05,0.98,5.0,0.9,0.5,0.5,0.5,13,trial_013__learning_rate-0.05__hidden_dims-512__activation-relu__weight_decay-0,True,0.0
tanh,128,/home/zhangzhiwei/deeplearning/homework1/eurosat_mlp_hw/output/search_grid_final/trial_011__learning_rate-0.05__hidden_dims-256__activation-tanh__weight_decay-0/best,19,0.5261728395061729,0.2,0.0001,6,20,[256],0.05,0.98,5.0,0.9,0.5,0.5,0.5,11,trial_011__learning_rate-0.05__hidden_dims-256__activation-tanh__weight_decay-0,True,0.0
